done,Name,Program Name,Deadline,Website,comments
Yes,Johns Hopkins University,Master of Science in Finance,"January 5, 2022",https://applygrad.jhu.edu/account/login?r=https%3a%2f%2fapplygrad.jhu.edu%2fapply%2f%3fsr%3daaa74a2e-17ad-4a42-95b8-4e7985fe593f,"1/1 Kira 
1/3 submit 
3/2rejected"
No,University of Rochester,MS Finance,"January 5, 2022",https://apply.simon.rochester.edu/account/login?r=https%3a%2f%2fapply.simon.rochester.edu%2fapply%2ffrm%3f08eadc9a-ae65-49f1-8245-42f86f7744b5,"12/30 submit
12/31 video essay
3/31 waitlisted"
Yes,Case Western Reserve University,Master of Science in Finance,"January 12, 2022",https://applygrad.case.edu/apply/,"1/11 submit
1/16 Kira invitation
1/28 Kira interview 3/4rejected"
Yes,Ohio State University,Master in Finance,"January 14, 2022",https://fisherosu.force.com/ERx_Forms__Portal_Login?refURL=https%3A%2F%2Ffisherosu.force.com%2FERx_Forms__Portal_Register,"1/11 submitted
1/11 Kira invitation
1/13 phone call
1/22 kira interview 
2/1 AD w/ 8000獎
https://buckeyelink.osu.edu/?utm_campaign=All%20programs&utm_medium=email&_hsmi=193222126&_hsenc=p2ANqtz-_gNN4g0DSy-p4DXkcj6Q8A-kTquEFCt2Ei7R16nQsTU8pmgzwfHmzuTBKwq6rfJIyfyMukl-hNVwmMcA7cITA-5PgLmQ&utm_content=193222126&utm_source=hs_automation&login=true"
Yes,"University of California, Irvine",Master of Science in Finance,"January 15, 2022",https://ucimerage.force.com/application/TX_SiteLogin?startURL=%2Fapplication%2FTargetX_App__Apply2%3Fapp%3Da0m61000005W5yAAAS%26id%3Da034M00000azEpqQAE,"1/10 submit
1/20 Kira invitation
1/22 Zoom invitation
1/26 kira interview
1/27 zoom interview 
2/1 WL
4/16 Kira invitation"
Yes,Northeastern University,MS Finance,"January 20, 2022",https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=neu-gsb&_ga=2.127118789.918981294.1640154511-1897996982.1640154511,"1/18 submit
1/20 Kira invitation
1/23 kira interview 
3/16Ad with 5000
https://damore-mckim.northeastern.edu/admitted-msf/"
Yes,University of Illinois Urbana-Champaign,Master of Science in Finance,"January 23, 2022",https://choose.illinois.edu/apply/,"1/20 submit 
2/8 WL"
Yes,Arizona State University,MSc in Finance,"February 1, 2022",https://weblogin.asu.edu/password/maintain,"1/18 submit
1/27 complete 
3/22AD"
Yes,Rutgers University,Master of Quantitative Finance,"May 1, 2022",https://rutgersbiz.force.com/ERx_Forms__Portal_Login,"1/26 submit
2/4 AD
3/27 declined"
Yes,Rochester Institute of Technology,Master of Science in Finance,,https://join.rit.edu/apply/,"1/24 submitted
2/3 AD with 30% scholarship
3/27 declined"
No,學校特色,,,,
